Vertice, Descoberto, Finalizado
226,937,19058
227,2535,17454
228,879,19116
229,149,19850
230,2075,17918
231,3277,16700
232,1882,18111
233,1253,18742
234,2298,17693
235,748,19247
236,143,19856
237,906,19089
238,1288,18707
239,273,19726
240,414,19585
241,88,19911
242,238,19761
243,1468,18525
244,2671,17318
245,763,19232
246,802,19193
247,737,19258
248,2454,17537
249,3980,15989
250,1964,18029
251,2242,17749
252,979,19016
253,1614,18379
254,4437,15530
255,394,19605
256,158,19841
257,531,19464
258,2342,17649
259,129,19870
260,164,19835
261,2424,17567
262,39,19960
263,215,19784
264,674,19321
265,416,19581
266,1321,18674
267,891,19104
268,1483,18510
269,1248,18747
270,1375,18618
271,1314,18681
272,423,19574
273,2338,17653
274,898,19097
275,2781,17208
276,6133,13710
277,2345,17646
278,1439,18554
279,1473,18520
280,1538,18455
281,708,19287
282,279,19720
283,649,19346
284,776,19219
285,145,19854
286,1642,18351
287,718,19277
288,2088,17905
289,1192,18803
290,558,19437
291,349,19650
292,1665,18328
293,1569,18424
294,669,19326
295,113,19886
296,408,19591
297,61,19938
298,936,19059
299,334,19665
300,185,19814
301,537,19458
302,374,19625
303,209,19790
304,1497,18496
305,2665,17324
306,319,19680
307,588,19407
308,1353,18640
309,922,19073
310,1691,18302
311,461,19536
312,520,19475
313,2057,17936
314,1814,18179
315,939,19056
316,275,19724
317,78,19921
318,1247,18748
319,361,19638
320,2570,17419
321,53,19946
322,1649,18344
323,2824,17163
324,227,19772
325,296,19703
326,427,19570
327,300,19699
328,1990,18003
329,665,19330
330,1429,18564
331,38,19961
332,80,19919
333,336,19663
334,1435,18558
335,809,19186
336,998,18997
337,1887,18106
338,652,19343
339,727,19268
340,1331,18662
341,1896,18097
342,2270,17721
343,2406,17585
344,1607,18386
345,581,19414
346,52,19947
347,2544,17445
348,12,19987
349,654,19341
350,176,19823
351,2489,17500
352,1585,18408
353,30,19969
354,662,19333
355,1537,18456
356,2842,17143
357,144,19855
358,1488,18505
359,2070,17923
360,805,19190
361,1500,18493
362,2055,17938
363,2916,17067
364,19,19980
365,505,19490
366,1399,18594
367,515,19480
368,538,19457
369,269,19730
370,1280,18715
371,225,19774
372,566,19429
373,2547,17442
374,3488,16489
375,988,19007
376,1579,18414
377,248,19751
378,1774,18219
379,1460,18533
380,456,19541
381,380,19619
382,2349,17642
383,186,19813
384,150,19849
385,2506,17483
386,630,19365
387,1307,18688
388,667,19328
389,757,19238
390,881,19114
391,1703,18290
392,251,19748
393,711,19284
394,1866,18127
395,890,19105
396,1681,18312
397,202,19797
398,239,19760
399,199,19800
400,433,19564
401,1297,18698
402,1162,18833
403,606,19389
404,2682,17307
405,453,19544
406,1070,18925
407,213,19786
408,89,19910
409,155,19844
410,20,19979
411,1464,18529
412,2715,17274
413,4753,15202
414,37,19962
415,195,19804
416,1191,18804
417,221,19778
418,73,19926
419,1251,18744
420,3379,16598
421,1595,18398
422,721,19274
423,550,19445
424,574,19421
425,1605,18388
426,695,19300
427,1570,18423
428,2126,17867
429,1126,18869
430,493,19502
431,369,19630
432,418,19579
433,291,19708
434,1444,18549
435,344,19655
436,2458,17531
437,3409,16568
438,549,19446
439,1036,18959
440,71,19928
441,1671,18322
442,1156,18839
443,835,19160
444,201,19798
445,232,19767
446,6098,13747
447,2132,17861
448,492,19503
449,2110,17883
450,533,19462
451,2877,17106
452,1567,18426
453,2719,17270
454,705,19290
455,1763,18230
456,2160,17831
457,3489,16488
458,77,19922
459,2687,17302
460,278,19721
461,277,19722
462,791,19204
463,27,19972
464,1155,18840
465,3717,16256
466,316,19683
467,3682,16291
468,1617,18376
469,34,19965
470,1179,18816
471,1093,18902
472,928,19067
473,97,19902
474,1040,18955
475,2860,17125
476,3503,16474
477,732,19263
478,5095,14834
479,1596,18397
480,1999,17994
481,1151,18844
482,120,19879
483,580,19415
484,3622,16353
485,702,19293
486,798,19197
487,353,19646
488,852,19143
489,2890,17093
490,2116,17877
491,2332,17659
492,1909,18084
493,1905,18088
494,476,19519
495,2002,17991
496,442,19555
497,725,19270
498,641,19354
499,3091,16892
500,21,19978
501,1686,18307
502,331,19668
503,1136,18859
504,131,19868
505,521,19474
506,771,19224
507,396,19603
508,2585,17404
509,843,19152
510,2010,17983
511,5,19994
512,377,19622
513,25,19974
514,1459,18534
515,1927,18066
516,1111,18884
517,814,19181
518,285,19714
519,1721,18272
520,666,19329
521,650,19345
522,909,19086
523,1615,18378
524,1086,18909
525,337,19662
526,699,19296
527,3989,15980
528,525,19470
529,3252,16725
530,2021,17972
531,152,19847
532,363,19636
533,777,19218
534,3636,16339
535,812,19183
536,664,19331
537,2955,17028
538,934,19061
539,7,19992
540,1592,18401
541,831,19164
542,83,19916
543,299,19700
544,397,19602
545,2425,17566
546,1491,18502
547,2060,17933
548,1558,18435
549,136,19863
550,680,19315
551,1182,18813
552,720,19275
553,245,19754
554,66,19933
555,853,19142
556,610,19385
557,1450,18543
558,894,19101
559,1713,18280
560,3792,16179
561,1394,18599
562,1188,18807
563,360,19639
564,1021,18974
565,1228,18767
566,1556,18437
567,825,19170
568,1635,18358
569,916,19079
570,2392,17599
571,1236,18759
572,2105,17888
573,658,19337
574,1695,18298
575,44,19955
576,4312,15653
577,779,19216
578,1416,18577
579,323,19676
580,1033,18962
581,507,19488
582,1431,18562
583,896,19099
584,823,19172
585,9800,9907
586,1069,18926
587,1083,18912
588,2003,17990
589,1051,18944
590,925,19070
591,1992,18001
592,23,19976
593,1295,18700
594,1024,18971
595,1095,18900
596,1014,18981
597,1154,18841
598,559,19436
599,110,19889
600,415,19584
601,804,19191
602,2397,17594
603,1426,18567
604,593,19402
605,688,19307
606,3076,16907
607,233,19766
608,624,19371
609,943,19052
610,1056,18939
611,912,19083
612,2155,17836
613,2127,17866
614,878,19117
615,35,19964
616,1357,18636
617,1224,18771
618,683,19312
619,174,19825
620,1332,18661
621,764,19231
622,991,19004
623,1825,18168
624,270,19729
625,714,19281
626,676,19319
627,320,19679
628,1034,18961
629,236,19763
630,420,19577
631,1470,18523
632,800,19195
633,216,19783
634,1240,18755
635,2893,17090
636,3028,16955
637,348,19651
638,498,19497
639,820,19175
640,3857,16116
641,244,19755
642,2337,17654
643,2452,17539
644,1900,18093
645,92,19907
646,2688,17301
647,4566,15395
648,139,19860
649,333,19666
650,1164,18831
651,432,19565
652,6,19993
653,1152,18843
654,956,19039
655,995,19000
656,523,19472
657,989,19006
658,357,19642
659,184,19815
660,4023,15946
661,205,19794
662,1193,18802
663,819,19176
664,114,19885
665,1987,18006
666,743,19252
667,851,19144
668,682,19313
669,2166,17825
670,3256,16721
671,620,19375
672,1271,18724
673,829,19166
674,1038,18957
675,2615,17374
676,4098,15871
677,470,19525
678,1609,18384
679,821,19174
680,933,19062
681,1423,18570
682,455,19542
683,2231,17760
684,1581,18412
685,317,19682
686,2918,17065
687,1864,18129
688,746,19249
689,3251,16726
690,468,19527
691,633,19362
692,75,19924
693,1101,18894
694,46,19953
695,1823,18170
696,247,19752
697,1077,18918
698,310,19689
699,3035,16948
700,1352,18641
701,1750,18243
702,659,19336
703,1757,18236
704,1712,18281
705,672,19323
706,2694,17295
707,1275,18720
708,2152,17839
709,631,19364
710,3089,16894
711,1655,18338
712,3535,16440
713,1801,18192
714,517,19478
715,157,19842
716,4481,15484
717,1503,18490
718,315,19684
719,391,19608
720,3433,16544
721,2051,17942
722,411,19588
723,1517,18476
724,2120,17873
725,1406,18587
726,837,19158
727,3939,16030
728,870,19125
729,2144,17847
730,1080,18915
731,1361,18632
732,1371,18622
733,1184,18811
734,1267,18728
735,844,19151
736,1004,18991
737,223,19776
738,1835,18158
739,677,19318
740,2754,17235
741,440,19557
742,585,19410
743,1474,18519
744,2733,17256
745,2675,17314
746,3962,16007
747,64,19935
748,2691,17298
749,547,19448
750,471,19524
751,1098,18897
752,1672,18321
753,876,19119
754,4281,15684
755,372,19627
756,774,19221
757,464,19531
758,540,19455
759,1529,18464
760,1227,18768
761,1354,18639
762,386,19613
763,1736,18257
764,3188,16795
765,3233,16746
766,2283,17708
767,2402,17589
768,1002,18993
769,1795,18198
770,59,19940
771,1575,18418
772,1262,18733
773,1196,18799
774,1869,18124
775,422,19575
776,259,19740
777,36,19963
778,2979,17004
779,962,19033
780,1472,18521
781,1501,18492
782,189,19810
783,2191,17800
784,3113,16870
785,3280,16697
786,3051,16932
787,5043,14886
788,140,19859
789,4676,15283
790,1336,18657
791,4933,15002
792,1696,18297
793,733,19262
794,2618,17371
795,172,19827
796,2330,17661
797,1611,18382
798,207,19792
799,573,19422
800,632,19363
801,679,19316
802,565,19430
803,656,19339
804,2816,17171
805,1826,18167
806,1291,18704
807,276,19723
808,648,19347
809,106,19893
810,5119,14810
811,563,19432
812,2290,17701
813,1241,18754
814,399,19600
815,1337,18656
816,826,19169
817,41,19958
818,1777,18216
819,562,19433
820,395,19604
821,3138,16845
822,58,19941
823,1096,18899
824,413,19586
825,2222,17769
826,874,19121
827,109,19890
828,612,19383
829,218,19781
830,1016,18979
831,3531,16444
832,3382,16595
833,3396,16581
834,3723,16250
835,1511,18482
836,623,19372
837,392,19607
838,482,19513
839,153,19846
840,1442,18551
841,490,19505
842,502,19493
843,3456,16521
844,1325,18670
845,1017,18978
846,600,19395
847,1787,18206
848,2386,17605
849,2757,17232
850,1206,18789
851,810,19185
852,1140,18855
853,326,19673
854,4076,15893
855,2189,17802
856,1719,18274
857,1986,18007
858,2139,17854
859,499,19496
860,1405,18588
861,846,19149
862,339,19660
863,3812,16159
864,196,19803
865,1410,18583
866,2497,17492
867,1634,18359
868,3104,16879
869,1211,18784
870,169,19830
871,127,19872
872,473,19522
873,194,19805
874,375,19624
875,730,19265
876,3479,16498
877,2000,17993
878,598,19397
879,4082,15887
880,2758,17231
881,1710,18283
882,3395,16582
883,1082,18913
884,815,19180
885,163,19836
886,1813,18180
887,262,19737
888,180,19819
889,601,19394
890,3077,16906
891,1894,18099
892,1758,18235
893,1817,18176
894,124,19875
895,628,19367
896,450,19547
897,1652,18341
898,756,19239
899,1482,18511
900,3515,16462
901,794,19201
902,2293,17698
903,298,19701
904,2809,17178
905,3642,16333
906,2381,17610
907,1026,18969
908,263,19736
909,786,19209
910,1998,17995
911,1418,18575
912,2602,17387
913,116,19883
914,1301,18694
915,640,19355
916,2849,17136
917,684,19311
918,2572,17417
919,644,19351
920,226,19773
921,1524,18469
922,1577,18416
923,2066,17927
924,1210,18785
925,1054,18941
926,4895,15044
927,625,19370
928,6377,13428
929,210,19789
930,1071,18924
931,2227,17764
932,2768,17221
933,343,19656
934,1727,18266
935,838,19157
936,3611,16364
937,789,19206
938,1735,18258
939,2072,17921
940,1594,18399
941,2507,17482
942,508,19487
943,1343,18650
944,1006,18989
945,2459,17530
946,2053,17940
947,3267,16710
948,3490,16487
949,67,19932
950,1791,18202
951,91,19908
952,2302,17689
953,1138,18857
954,4362,15603
955,1419,18574
956,412,19587
957,1810,18183
958,710,19285
959,443,19554
960,1379,18614
961,1818,18175
962,1386,18607
963,1324,18671
964,3057,16926
965,1189,18806
966,96,19903
967,18,19981
968,86,19913
969,1626,18367
970,2183,17808
971,1543,18450
972,123,19876
973,2437,17554
974,2321,17670
975,543,19452
976,366,19633
977,304,19695
978,2812,17175
979,332,19667
980,697,19298
981,3961,16008
982,614,19381
983,2659,17330
984,1752,18241
985,5998,13859
986,2076,17917
987,190,19809
988,1222,18773
989,1746,18247
990,183,19816
991,1505,18488
992,2423,17568
993,4445,15522
994,855,19140
995,920,19075
996,3846,16125
997,4233,15734
998,1365,18628
999,1962,18031
1000,1647,18346
1001,256,19743
1002,884,19111
1003,590,19405
1004,961,19034
1005,126,19873
1006,2128,17865
1007,2377,17614
1008,5091,14838
1009,48,19951
1010,1358,18635
1011,3601,16374
1012,2998,16985
1013,362,19637
1014,2047,17946
1015,887,19108
1016,3329,16648
1017,379,19620
1018,532,19463
1019,655,19340
1020,3644,16331
1021,686,19309
1022,4574,15387
1023,2946,17037
1024,1921,18072
1025,49,19950
1026,712,19283
1027,32,19967
1028,305,19694
1029,2239,17752
1030,883,19112
1031,5470,14431
1032,2913,17070
1033,102,19897
1034,1625,18368
1035,242,19757
1036,2813,17174
1037,1037,18958
1038,3211,16770
1039,314,19685
1040,828,19167
1041,1528,18465
1042,1433,18560
1043,1762,18231
1044,1717,18276
1045,175,19824
1046,9071,10122
1047,629,19366
1048,3023,16960
1049,5695,14184
1050,479,19516
1051,1285,18710
1052,577,19418
1053,146,19853
1054,987,19008
1055,151,19848
1056,2071,17922
1057,775,19220
1058,2143,17848
1059,2657,17332
1060,2247,17744
1061,514,19481
1062,1174,18821
1063,2147,17844
1064,1917,18076
1065,700,19295
1066,2033,17960
1067,1628,18365
1068,1363,18630
1069,526,19469
1070,108,19891
1071,5219,14696
1072,1274,18721
1073,813,19182
1074,1001,18994
1075,856,19139
1076,2430,17561
1077,2295,17696
1078,2703,17286
1079,2899,17084
1080,214,19785
1081,2019,17974
1082,1812,18181
1083,2934,17049
1084,1387,18606
1085,3782,16189
1086,539,19456
1087,1030,18965
1088,1115,18880
1089,1388,18605
1090,681,19314
1091,1772,18221
1092,1660,18333
1093,1767,18226
1094,985,19010
1095,3221,16758
1096,2648,17341
1097,1199,18796
1098,1105,18890
1099,792,19203
1100,2140,17853
1101,1631,18362
1102,439,19558
1103,1877,18116
1104,1640,18353
1105,1029,18966
1106,752,19243
1107,2193,17798
1108,638,19357
1109,1204,18791
1110,2194,17797
1111,1448,18545
1112,3772,16201
1113,945,19050
1114,1309,18686
1115,4013,15958
1116,290,19709
1117,1892,18101
1118,4519,15444
1119,268,19731
1120,2137,17856
1121,1535,18458
1122,1303,18692
1123,2903,17080
1124,1430,18563
1125,511,19484
1126,204,19795
1127,2334,17657
1128,347,19652
1129,1981,18012
1130,161,19838
1131,3990,15979
1132,1157,18838
1133,1302,18693
1134,2515,17474
1135,1937,18056
1136,4644,15317
1137,2248,17743
1138,74,19925
1139,1027,18968
1140,182,19817
1141,1049,18946
1142,954,19041
1143,384,19615
1144,1088,18907
1145,996,18999
1146,867,19128
1147,2695,17294
1148,605,19390
1149,1205,18790
1150,254,19745
1151,2252,17739
1152,1490,18503
1153,2253,17738
1154,703,19292
1155,142,19857
1156,1159,18836
1157,417,19580
1158,2111,17882
1159,707,19288
1160,1383,18610
1161,1286,18709
1162,2550,17439
1163,1874,18119
1164,345,19654
1165,1953,18040
1166,1440,18553
1167,2255,17736
1168,400,19599
1169,589,19406
1170,1781,18212
1171,264,19735
1172,741,19254
1173,570,19425
1174,1171,18824
1175,171,19828
1176,2101,17892
1177,582,19413
1178,1389,18604
1179,2864,17121
1180,1876,18117
1181,2534,17455
1182,2493,17496
1183,522,19473
1184,1914,18079
1185,1968,18025
1186,1506,18487
1187,284,19715
1188,1313,18682
1189,2629,17360
1190,444,19553
1191,1316,18679
1192,4524,15439
1193,2044,17949
1194,365,19634
1195,1852,18141
1196,447,19550
1197,691,19304
1198,1576,18417
1199,5913,13950
1200,1120,18875
1201,1212,18783
1202,1950,18043
1203,3795,16176
1204,1627,18366
1205,289,19710
1206,1559,18434
1207,253,19746
1208,2163,17828
1209,750,19245
1210,406,19593
1211,3295,16682
1212,364,19635
1213,1622,18371
1214,3418,16559
1215,1619,18374
1216,704,19291
1217,795,19200
1218,915,19080
1219,219,19780
1220,1408,18585
1221,1254,18741
1222,1257,18738
1223,765,19230
1224,240,19759
1225,2686,17303
1226,2804,17185
1227,1266,18729
1228,359,19640
1229,2900,17083
1230,1733,18260
1231,1428,18565
1232,1065,18930
1233,1925,18068
1234,1885,18108
1235,1573,18420
1236,1348,18645
1237,2819,17168
1238,2811,17176
1239,552,19443
1240,1425,18568
1241,1380,18613
1242,1477,18516
1243,3785,16186
1244,1299,18696
1245,388,19611
1246,1598,18395
1247,1113,18882
1248,1830,18163
1249,2198,17793
1250,258,19741
1251,747,19248
1252,1844,18149
1253,2524,17465
1254,231,19768
1255,2366,17625
1256,2571,17418
1257,325,19674
1258,1081,18914
1259,1485,18508
1260,1492,18501
1261,1954,18039
1262,19582,19583
1263,2672,17317
1264,854,19141
1265,452,19545
1266,1242,18753
1267,3529,16446
1268,87,19912
1269,1749,18244
1270,2048,17945
1271,2578,17411
1272,1673,18320
1273,2730,17259
1274,170,19829
1275,4078,15891
1276,1955,18038
1277,1167,18828
1278,1840,18153
1279,1467,18526
1280,4028,15941
1281,2565,17424
1282,2097,17896
1283,2833,17152
1284,2380,17611
1285,2753,17236
1286,1553,18440
1287,535,19460
1288,3070,16913
1289,2907,17076
1290,5358,14553
1291,295,19704
1292,4131,15838
1293,5535,14360
1294,370,19629
1295,1475,18518
1296,3012,16971
1297,604,19391
1298,2049,17944
1299,4861,15082
1300,1452,18541
1301,561,19434
1302,947,19048
1303,2029,17964
1304,965,19030
1305,2286,17705
1306,29,19970
1307,4113,15856
1308,84,19915
1309,1838,18155
1310,1904,18089
1311,435,19562
1312,1246,18749
1313,657,19338
1314,1377,18616
1315,5756,14115
1316,2056,17937
1317,2708,17281
1318,1245,18750
1319,1131,18864
1320,1147,18848
1321,1527,18466
1322,1850,18143
1323,462,19533
1324,115,19884
1325,806,19189
1326,569,19426
1327,1560,18433
1328,5227,14688
1329,971,19024
1330,2096,17897
1331,311,19688
1332,76,19923
1333,2481,17508
1334,873,19122
1335,2549,17440
1336,2217,17774
1337,1847,18146
1338,1574,18419
1339,2725,17264
1340,2621,17368
1341,4674,15285
1342,534,19461
1343,1883,18110
1344,1384,18609
1345,2847,17138
1346,63,19936
1347,1996,17997
1348,2856,17129
1349,2228,17763
1350,1858,18135
1351,842,19153
1352,2593,17396
1353,1516,18477
1354,4456,15511
1355,1568,18425
1356,1730,18263
1357,1234,18761
1358,1707,18286
1359,626,19369
1360,160,19839
1361,2316,17675
1362,1912,18081
1363,1618,18375
1364,592,19403
1365,690,19305
1366,613,19382
1367,3885,16084
1368,1310,18685
1369,2104,17889
1370,2435,17556
1371,3650,16325
1372,1521,18472
1373,576,19419
1374,1094,18901
1375,4532,15431
1376,2627,17362
1377,445,19552
1378,1281,18714
1379,3058,16925
1380,376,19623
1381,1209,18786
1382,480,19515
1383,2933,17050
1384,919,19076
1385,119,19880
1386,5006,14927
1387,3240,16739
1388,2018,17975
1389,1522,18471
1390,1231,18764
1391,1123,18872
1392,1922,18071
1393,1867,18126
1394,2456,17533
1395,79,19920
1396,1055,18940
1397,3368,16609
1398,1682,18311
1399,1821,18172
1400,1064,18931
1401,1124,18871
1402,1675,18318
1403,8442,10847
1404,2649,17340
1405,2484,17505
1406,3068,16915
1407,509,19486
1408,2363,17628
1409,2840,17145
1410,1447,18546
1411,3992,15977
1412,7341,12314
1413,2968,17015
1414,2119,17874
1415,914,19081
1416,2005,17988
1417,3516,16461
1418,2384,17607
1419,2387,17604
1420,2063,17930
1421,457,19540
1422,496,19499
1423,4140,15829
1424,992,19003
1425,4176,15791
1426,4062,15907
1427,3074,16909
1428,787,19208
1429,692,19303
1430,609,19386
1431,893,19102
1432,847,19148
1433,4747,15210
1434,788,19207
1435,51,19948
1436,2052,17941
1437,941,19054
1438,942,19053
1439,1590,18403
1440,944,19051
1441,719,19276
1442,173,19826
1443,803,19192
1444,3328,16649
1445,3780,16191
1446,1032,18963
1447,2664,17325
1448,1130,18865
1449,1666,18327
1450,1667,18326
1451,2178,17813
1452,611,19384
1453,1213,18782
1454,1895,18098
1455,931,19064
1456,3264,16713
1457,2164,17827
1458,1437,18556
1459,1991,18002
1460,921,19074
1461,477,19518
1462,848,19147
1463,474,19521
1464,6242,13579
1465,159,19840
1466,1183,18812
1467,3173,16810
1468,542,19453
1469,1104,18891
1470,3804,16167
1471,141,19858
1472,1134,18861
1473,849,19146
1474,2412,17579
1475,2266,17725
1476,2297,17694
1477,410,19589
1478,1853,18140
1479,1919,18074
1480,1983,18010
1481,1723,18270
1482,1926,18067
1483,257,19742
1484,661,19334
1485,45,19954
1486,1018,18977
1487,2149,17842
1488,1915,18078
1489,237,19762
1490,3269,16708
1491,1633,18360
1492,1651,18342
1493,1172,18823
1494,4245,15722
1495,128,19871
1496,3894,16075
1497,4169,15798
1498,793,19202
1499,2828,17157
1500,6068,13787
1501,2145,17846
1502,1974,18019
1503,1862,18131
1504,4034,15935
1505,1842,18151
1506,1091,18904
1507,1223,18772
1508,3083,16900
1509,1225,18770
1510,11,19988
1511,2025,17968
1512,1165,18830
1513,94,19905
1514,1376,18617
1515,1525,18468
1516,1690,18303
1517,3338,16639
1518,1057,18938
1519,2184,17807
1520,293,19706
1521,3745,16228
1522,5928,13937
1523,722,19273
1524,3655,16320
1525,2461,17528
1526,1976,18017
1527,4749,15208
1528,544,19451
1529,192,19807
1530,181,19818
1531,785,19210
1532,1692,18301
1533,1588,18405
1534,1217,18778
1535,1949,18044
1536,2069,17924
1537,2389,17602
1538,234,19765
1539,3854,16119
1540,177,19822
1541,1409,18584
1542,1013,18982
1543,2011,17982
1544,1110,18885
1545,1160,18835
1546,1965,18028
1547,1878,18115
1548,1039,18956
1549,467,19528
1550,1532,18461
1551,1133,18862
1552,4670,15289
1553,3881,16090
1554,3341,16636
1555,642,19353
1556,1851,18142
1557,1971,18022
1558,2125,17868
1559,111,19888
1560,755,19240
1561,1414,18579
1562,1292,18703
1563,871,19124
1564,2229,17762
1565,2508,17481
1566,1208,18787
1567,2336,17655
1568,1872,18121
1569,1697,18296
1570,3246,16731
1571,1148,18847
1572,1190,18805
1573,1886,18107
1574,1144,18851
1575,621,19374
1576,1066,18929
1577,3290,16687
1578,2024,17969
1579,1704,18289
1580,2314,17677
1581,861,19134
1582,3449,16528
1583,1166,18829
1584,2246,17745
1585,1551,18442
1586,3062,16921
1587,594,19401
1588,726,19269
1589,2874,17109
1590,1836,18157
1591,2723,17266
1592,1455,18538
1593,2622,17367
1594,1263,18732
1595,2670,17319
1596,2503,17486
1597,2299,17692
1598,7459,12172
1599,1022,18973
1600,3284,16693
1601,3729,16244
1602,3798,16173
1603,2475,17514
1604,2446,17545
1605,2778,17211
1606,3671,16302
1607,2892,17091
1608,761,19234
1609,1959,18034
1610,1333,18660
1611,2108,17885
1612,17,19982
1613,949,19046
1614,487,19508
1615,2320,17671
1616,908,19087
1617,2605,17384
1618,2291,17700
1619,2749,17240
1620,993,19002
1621,1648,18345
1622,282,19717
1623,3585,16390
1624,556,19439
1625,3450,16527
1626,407,19592
1627,2275,17716
1628,2575,17414
1629,4738,15219
1630,3145,16838
1631,4191,15776
1632,1856,18137
1633,850,19145
1634,2317,17674
1635,4407,15558
1636,3648,16327
1637,607,19388
1638,2401,17590
1639,3747,16226
1640,1187,18808
1641,3437,16540
1642,3817,16154
1643,1107,18888
1644,4338,15627
1645,5060,14869
1646,1129,18866
1647,2099,17894
1648,519,19476
1649,833,19162
1650,3720,16253
1651,2464,17525
1652,1020,18975
1653,255,19744
1654,6036,13819
1655,1562,18431
1656,1079,18916
1657,3832,16139
1658,2050,17943
1659,3100,16883
1660,907,19088
1661,2042,17951
1662,3471,16506
1663,2219,17772
1664,3030,16953
1665,3695,16278
1666,56,19943
1667,2367,17624
1668,4248,15719
1669,235,19764
1670,536,19459
1671,860,19135
1672,4321,15644
1673,3813,16158
1674,367,19632
1675,892,19103
1676,1347,18646
1677,1612,18381
1678,1936,18057
1679,951,19044
1680,1298,18697
1681,2623,17366
1682,1400,18593
1683,864,19131
1684,877,19118
1685,2202,17789
1686,723,19272
1687,1639,18354
1688,1403,18590
1689,1226,18769
1690,1278,18717
1691,4993,14940
1692,1632,18361
1693,3965,16004
1694,2078,17915
1695,1068,18927
1696,1637,18356
1697,1121,18874
1698,2779,17210
1699,3049,16934
1700,3702,16271
1701,402,19597
1702,978,19017
1703,1446,18547
1704,1933,18060
1705,1841,18152
1706,2722,17267
1707,1539,18454
1708,2306,17685
1709,1738,18255
1710,2702,17287
1711,2971,17012
1712,2043,17950
1713,1312,18683
1714,3969,16000
1715,671,19324
1716,2016,17977
1717,619,19376
1718,3343,16634
1719,5027,14904
1720,2309,17682
1721,568,19427
1722,2473,17516
1723,4798,15151
1724,2190,17801
1725,2442,17549
1726,2542,17447
1727,2138,17855
1728,3063,16920
1729,1978,18015
1730,554,19441
1731,1979,18014
1732,217,19782
1733,1141,18854
1734,1659,18334
1735,1989,18004
1736,1436,18557
1737,321,19678
1738,3122,16861
1739,1641,18352
1740,1061,18934
1741,1550,18443
1742,2322,17669
