Vertice, Pai, Distancia
546,9945,2
547,2437,4
548,9500,4
549,8349,5
550,1495,4
551,3349,5
552,1441,6
553,6905,4
554,2059,5
555,2609,5
556,4367,5
557,3165,5
558,9916,4
559,8087,4
560,3307,5
561,6368,5
562,5613,5
563,4880,3
564,6587,5
565,3788,5
566,6142,5
567,5464,4
568,6298,4
569,1218,4
570,8650,5
571,8878,4
572,4257,5
573,8379,4
574,2177,4
575,1739,5
576,9562,4
577,7368,4
578,9615,5
579,4822,4
580,9530,4
581,9298,5
582,1124,5
583,2153,5
584,3037,4
585,9348,5
586,1160,5
587,9870,5
588,4699,5
589,1786,4
590,5031,5
591,8040,4
592,4029,4
593,766,4
594,6137,5
595,1673,4
596,5730,4
597,3631,4
598,1878,5
599,6587,5
600,240,4
601,9068,5
602,7368,4
603,7476,5
604,3522,3
605,2833,4
606,5457,3
607,8337,5
608,7721,4
609,346,5
610,8332,3
611,127,4
612,1928,5
613,4235,4
614,5034,5
615,1639,5
616,4394,5
617,1507,5
618,668,4
619,3903,5
620,7254,4
621,5586,4
622,6263,4
623,2259,5
624,6833,4
625,3665,5
626,1341,4
627,7672,5
628,7302,4
629,115,3
630,8116,4
631,1064,3
632,6822,4
633,5853,5
634,3734,4
635,7807,5
636,5974,5
637,2919,5
638,8583,5
639,8291,4
640,5272,5
641,8888,5
642,2681,5
643,2723,3
644,9845,4
645,1366,5
646,459,4
647,4501,5
648,6735,5
649,536,3
650,8264,5
651,4461,4
652,5854,5
653,1275,5
654,7849,5
655,9725,4
656,3899,2
657,6296,4
658,7790,5
659,990,3
660,4918,4
661,7655,4
662,6755,3
663,3162,5
664,295,4
665,857,4
666,8487,4
667,754,3
668,990,3
669,3633,5
670,7977,4
671,9910,3
672,7609,4
673,146,3
674,5485,3
675,4029,4
676,3851,5
677,9500,4
678,4188,3
679,7889,5
680,8916,4
681,3031,4
682,5271,4
683,1853,5
684,9799,5
685,9922,5
686,4038,4
687,4200,3
688,3423,4
689,9327,3
690,3186,4
691,9427,4
692,433,4
693,5142,4
694,1485,4
695,2466,4
696,8854,4
697,6912,5
698,4362,5
699,1111,4
700,8946,5
701,6601,4
702,8073,4
703,3853,5
704,3284,5
705,7351,4
706,130,4
707,2500,4
708,2903,4
709,8715,5
710,2902,4
711,5460,4
712,9388,4
713,259,4
714,7457,5
715,8833,5
716,6282,4
717,3207,4
718,343,4
719,161,5
720,3504,4
721,2170,5
722,231,4
723,536,3
724,5509,5
725,9414,4
726,3943,4
727,9887,4
728,4637,4
729,1058,3
730,1656,5
731,8557,5
732,115,3
733,4608,4
734,4584,4
735,9530,4
736,6524,4
737,19,5
738,6911,4
739,5786,4
740,9594,5
741,628,5
742,2252,4
743,8445,4
744,4670,4
745,8347,2
746,5854,5
747,8142,4
748,2581,5
749,3489,4
750,677,5
751,9979,5
752,1077,4
753,2795,5
754,9626,2
755,2658,5
756,8261,5
757,5412,4
758,1064,3
759,2377,5
760,3746,4
761,308,5
762,340,5
763,8258,4
764,5739,5
765,4670,4
766,1859,3
767,7133,4
768,4802,5
769,4123,5
770,9792,5
771,9503,5
772,2964,5
773,4937,5
774,6990,5
775,3617,4
776,7085,5
777,3231,5
778,5371,4
779,1004,4
780,9426,4
781,361,4
782,3706,4
783,9868,4
784,9036,5
785,3986,5
786,4790,4
787,8839,4
788,362,5
789,6335,4
790,2840,5
791,3578,4
792,3946,5
793,1446,4
794,7744,4
795,4348,4
796,9515,5
797,1824,4
798,7417,5
799,1643,3
800,2695,5
801,6905,4
802,1853,5
803,4188,3
804,5321,3
805,3956,5
806,4550,3
807,5675,5
808,7063,4
809,5795,5
810,6849,4
811,6508,5
812,8595,5
813,9898,4
814,7857,5
815,8321,5
816,3047,4
817,4223,5
818,6659,4
819,5277,5
820,3522,3
821,9952,5
822,5330,4
823,8290,3
824,3946,5
825,6478,5
826,7637,4
827,1408,5
828,9622,5
829,240,4
830,7859,4
831,8355,5
832,6132,3
833,9009,4
834,5783,5
835,5740,4
836,5749,5
837,7474,4
838,4561,5
839,1531,2
840,7771,4
841,3627,5
842,176,2
843,3383,4
844,9622,5
845,3357,5
846,5110,3
847,8264,5
848,9035,5
849,8719,3
850,5141,4
851,4882,4
852,8332,3
853,8142,4
854,4022,5
855,7920,5
856,2212,5
857,7800,3
858,5421,5
859,8455,4
860,2990,5
861,1490,5
862,8079,4
863,8399,5
864,415,4
865,8291,4
866,6018,4
867,3575,5
868,3875,5
869,973,5
870,5371,4
871,610,4
872,3796,5
873,1770,4
874,3522,3
875,9979,5
876,4835,5
877,7408,4
878,7283,4
879,5532,4
880,849,4
881,1668,5
882,8229,4
883,4471,5
884,5781,5
885,9848,5
886,343,4
887,9626,2
888,263,5
889,846,4
890,606,4
891,9059,4
892,9208,4
893,343,4
894,6921,4
895,2971,4
896,6224,4
897,2500,4
898,6255,5
899,7774,4
900,3945,5
901,6693,4
902,2259,5
903,2661,5
904,1899,4
905,8497,4
906,6335,4
907,6349,5
908,887,3
909,1531,2
910,8744,4
911,2266,5
912,4348,4
913,1324,4
914,2664,5
915,3466,4
916,4961,5
917,5132,5
918,2177,4
919,4936,5
920,9179,5
921,1969,5
922,4235,4
923,696,5
924,2087,4
925,7254,4
926,9415,5
927,2598,4
928,9254,5
929,8065,5
930,4265,5
931,4653,5
932,5488,5
933,2924,5
934,2373,4
935,597,5
936,8323,4
937,4703,4
938,9530,4
939,7447,5
940,5974,5
941,3090,5
942,4974,4
943,3031,4
944,5307,3
945,2595,4
946,8328,5
947,1803,5
948,461,5
949,9917,5
950,2384,5
951,6512,5
952,4426,5
953,5955,4
954,8685,4
955,2359,5
956,8475,5
957,9172,4
958,385,5
959,4277,3
960,7682,5
961,9624,5
962,2096,4
963,3017,4
964,2865,4
965,2271,5
966,6282,4
967,4880,3
968,1408,5
969,4643,4
970,7283,4
971,9484,3
972,9770,4
973,1806,4
974,4597,5
975,8822,4
976,1194,5
977,8639,5
978,3872,4
979,2889,5
980,1519,5
981,3517,5
982,9279,4
983,4744,5
984,1633,4
985,6637,5
986,6381,4
987,3686,4
988,8059,4
989,5154,5
990,2294,2
991,5745,4
992,5481,4
993,3388,4
994,3717,4
995,4551,4
996,4854,5
997,5555,5
998,4036,4
999,2527,4
1000,3153,5
1001,8393,5
1002,6104,4
1003,6972,5
1004,4082,3
1005,3605,4
1006,8711,5
1007,9848,5
1008,9078,4
1009,277,4
1010,7525,5
1011,8725,4
1012,4996,4
1013,1525,5
1014,4200,3
1015,5884,4
1016,9335,4
1017,8126,5
1018,6235,5
1019,9954,5
1020,7774,4
1021,9942,4
1022,3606,3
1023,1763,5
1024,6562,5
1025,3267,4
1026,5485,3
1027,195,3
1028,3428,4
1029,1934,5
1030,8121,3
1031,9388,4
1032,3717,4
1033,5393,5
1034,6427,4
1035,2160,4
1036,9152,5
1037,8597,4
1038,5271,4
1039,3605,4
1040,2315,4
1041,8187,4
1042,3580,4
1043,7753,4
1044,4992,5
1045,8285,4
1046,9415,5
1047,8760,4
1048,9807,5
1049,8326,4
1050,7357,4
1051,3651,4
1052,9406,4
1053,7744,4
1054,5786,4
1055,9617,5
1056,3128,5
1057,3225,4
1058,1531,2
1059,8399,5
1060,4880,3
1061,2500,4
1062,3306,3
1063,2879,5
1064,2294,2
1065,7599,5
1066,6337,5
1067,3373,4
1068,4994,4
1069,1144,4
1070,8068,4
1071,7814,4
1072,6115,5
1073,8073,4
1074,9645,5
1075,7297,4
1076,6357,4
1077,2723,3
1078,6054,4
1079,2169,5
1080,1260,4
1081,373,4
1082,7196,5
1083,1030,4
1084,7676,5
1085,8348,5
1086,6769,4
1087,1105,4
1088,1933,4
1089,8068,4
1090,6879,5
1091,3070,5
1092,2308,5
1093,242,4
1094,3517,5
1095,9792,5
1096,2055,5
1097,2315,4
1098,5666,5
1099,823,4
1100,4850,4
1101,4576,5
1102,9467,5
1103,1180,4
1104,4241,4
1105,4303,3
1106,2308,5
1107,3030,4
1108,1252,4
1109,7489,4
1110,8986,5
1111,9910,3
1112,2062,4
1113,9701,4
1114,8194,4
1115,4785,4
1116,7335,5
1117,5253,5
1118,1218,4
1119,4608,4
1120,5955,4
1121,536,3
1122,1133,3
1123,9447,4
1124,4608,4
1125,3911,4
1126,1481,4
1127,8036,5
1128,2204,5
1129,1260,4
1130,7114,5
1131,3374,4
1132,2385,5
1133,9626,2
1134,4475,5
1135,1216,4
1136,6223,4
1137,1060,4
1138,352,5
1139,8881,5
1140,3253,4
1141,3746,4
1142,5820,3
1143,9693,5
1144,4002,3
1145,3717,4
1146,804,4
1147,3076,5
1148,2292,5
1149,9623,5
1150,1207,4
1151,8087,4
1152,8467,4
1153,5882,5
1154,9701,4
1155,5172,4
1156,9207,5
1157,4993,5
1158,4246,4
1159,7097,5
1160,4029,4
1161,8744,4
1162,7859,4
1163,3703,4
1164,9501,4
1165,5586,4
1166,278,5
1167,5963,4
1168,592,5
1169,307,5
1170,8348,5
1171,9501,4
1172,3197,4
1173,7214,5
1174,5015,4
1175,6282,4
1176,8760,4
1177,3913,4
1178,9414,4
1179,7174,4
1180,5307,3
1181,7468,4
1182,6876,5
1183,8467,4
1184,7715,4
1185,5818,5
1186,991,5
1187,7102,5
1188,3040,5
1189,5854,5
1190,959,4
1191,4180,5
1192,1757,5
1193,6512,5
1194,852,4
1195,5199,5
1196,4138,5
1197,411,5
1198,3827,4
1199,8163,4
1200,7530,3
1201,2902,4
1202,5464,4
1203,849,4
1204,7283,4
1205,1941,5
1206,9903,4
1207,1415,3
1208,3535,5
1209,6785,5
1210,3703,4
1211,7153,4
1212,6851,5
1213,6366,4
1214,4994,4
1215,2468,4
1216,2105,3
1217,1226,4
1218,1415,3
1219,7640,5
1220,5820,3
1221,8084,5
1222,6587,5
1223,9885,3
1224,4992,5
1225,1531,2
1226,5321,3
1227,2979,5
1228,7774,4
1229,7089,5
1230,7676,5
1231,857,4
1232,7910,5
1233,3214,4
1234,5745,4
1235,3373,4
1236,4834,5
1237,4840,5
1238,1931,5
1239,2436,5
1240,4598,4
1241,6420,5
1242,2105,3
1243,3664,5
1244,5744,4
1245,9423,4
1246,2413,4
1247,6875,5
1248,9317,2
1249,4353,4
1250,3913,4
1251,2696,4
1252,9082,3
1253,507,4
1254,3737,4
1255,667,4
1256,3443,5
1257,7528,4
1258,7127,5
1259,8839,4
1260,146,3
1261,2895,4
1262,600,5
1263,8452,4
1264,1353,5
1265,1037,5
1266,1248,3
1267,7606,5
1268,7802,5
1269,659,4
1270,1014,4
1271,6206,5
1272,3267,4
1273,6155,5
1274,3833,5
1275,1341,4
1276,832,4
1277,7308,4
1278,8311,5
1279,1941,5
1280,944,4
1281,1890,3
1282,4509,5
1283,6921,4
1284,4842,5
1285,8380,4
1286,2263,4
1287,4994,4
1288,7653,5
1289,563,4
1290,7924,5
1291,2204,5
1292,7859,4
1293,9919,4
1294,431,4
1295,5464,4
1296,8854,4
1297,4636,4
1298,9771,5
1299,908,4
1300,2386,5
1301,8906,5
1302,5719,5
1303,7792,5
1304,8567,3
1305,6013,4
1306,8254,5
1307,3195,4
1308,5764,5
1309,1366,5
1310,7779,4
1311,3114,5
1312,6790,5
1313,3214,4
1314,1971,4
1315,1364,4
1316,362,5
1317,7414,5
1318,9936,5
1319,8383,5
1320,8992,5
1321,4850,4
1322,8335,3
1323,4028,4
1324,8757,3
1325,8975,3
1326,7689,5
1327,857,4
1328,9256,5
1329,5110,3
1330,2315,4
1331,8116,4
1332,8089,5
1333,5034,5
1334,5115,5
1335,6137,5
1336,7662,5
1337,3175,5
1338,1281,4
1339,3532,5
1340,5820,3
1341,4743,3
1342,450,4
1343,3096,4
1344,8323,4
1345,7733,4
1346,4830,4
1347,5390,4
1348,5204,4
1349,329,4
1350,8626,5
1351,5271,4
1352,2386,5
1353,4214,4
1354,3809,4
1355,1855,3
1356,373,4
1357,1853,5
1358,8971,5
1359,3862,5
1360,1465,4
1361,9290,5
1362,1899,4
1363,1702,4
1364,9327,3
1365,9848,5
1366,3489,4
1367,5006,3
1368,5861,5
1369,9344,5
1370,1981,5
1371,7598,5
1372,459,4
1373,87,5
1374,471,5
1375,5071,5
1376,2087,4
1377,1069,5
1378,5691,4
1379,2437,4
1380,874,4
1381,4038,4
1382,9612,4
1383,4353,4
1384,4188,3
1385,3146,4
1386,1385,5
1387,8320,4
1388,5668,4
1389,2336,4
1390,9375,5
1391,3354,4
1392,539,5
1393,8521,5
1394,4829,5
1395,8712,5
1396,255,4
1397,4707,5
1398,4636,4
1399,2799,4
1400,5204,4
1401,4011,5
1402,163,5
1403,9700,5
1404,3188,5
1405,4063,6
1406,2226,5
1407,5955,4
1408,8716,4
1409,8976,5
1410,8576,4
1411,8878,4
1412,3858,5
1413,7099,4
1414,8518,5
1415,1531,2
1416,5768,4
1417,8270,5
1418,3357,5
1419,1225,3
1420,7779,4
1421,2333,4
1422,9091,5
1423,1324,4
1424,1804,4
1425,4121,5
1426,295,4
1427,5740,4
1428,909,3
1429,2660,4
1430,6851,5
1431,1367,4
1432,1446,4
1433,6035,4
1434,1428,4
1435,6476,5
1436,3342,5
1437,1142,4
1438,8404,5
1439,3706,4
1440,9047,4
1441,7920,5
1442,795,5
1443,1899,4
1444,6005,5
1445,9325,5
1446,9484,3
1447,9944,5
1448,1646,5
1449,9411,5
1450,8763,5
1451,9238,5
1452,8824,5
1453,6240,5
1454,1341,4
1455,8920,5
1456,2171,5
1457,1702,4
1458,9350,4
1459,7648,5
1460,8031,5
1461,2694,5
1462,4411,5
1463,2344,5
1464,5724,5
1465,3522,3
1466,6879,5
1467,3160,4
1468,4353,4
1469,8725,4
1470,4880,3
1471,2895,4
1472,1218,4
1473,2294,2
1474,9725,4
1475,9280,4
1476,6677,5
1477,3717,4
1478,5675,5
1479,3031,4
1480,4943,5
1481,8919,3
1482,5304,4
1483,268,4
1484,7179,4
1485,1415,3
1486,8711,5
1487,7753,4
1488,6756,5
1489,629,4
1490,6282,4
1491,8067,5
1492,5610,4
1493,8290,3
1494,2604,5
1495,8543,3
1496,8380,4
1497,810,5
1498,2527,4
1499,3466,4
1500,7210,4
1501,1428,4
1502,6203,4
1503,563,4
1504,6005,5
1505,4943,5
1506,240,4
1507,1341,4
1508,9555,4
1509,563,4
1510,6843,4
1511,7179,4
1512,3183,5
1513,4983,5
1514,2391,5
1515,7631,5
1516,8881,5
1517,7571,5
1518,610,4
1519,7083,4
1520,3461,5
1521,4785,4
1522,6541,6
1523,4509,5
1524,2262,5
1525,4785,4
1526,404,5
1527,6585,5
1528,9622,5
1529,5498,5
1530,291,4
1531,35,1
1532,2660,4
1533,7254,4
1534,4235,4
1535,1218,4
1536,4786,5
1537,4224,5
1538,8985,5
1539,5346,4
1540,5006,3
1541,5371,4
1542,5530,4
1543,2916,4
1544,7170,5
1545,8719,3
1546,478,5
1547,8174,4
1548,674,4
1549,5371,4
1550,1384,4
1551,7357,4
1552,3834,5
1553,7373,4
1554,6635,4
1555,5199,5
1556,1322,4
1557,8041,4
1558,6203,4
1559,569,5
1560,2330,4
1561,2174,4
1562,806,4
1563,563,4
1564,4008,5
1565,6320,4
1566,4557,5
1567,846,4
1568,4353,4
1569,9206,5
1570,3061,5
1571,6730,5
1572,7952,4
1573,6151,5
1574,659,4
1575,5587,4
1576,2620,4
1577,5365,4
1578,7254,4
1579,8344,4
1580,8022,4
1581,1671,4
1582,6298,4
1583,6559,4
1584,2686,4
1585,36,5
1586,8079,4
1587,5963,4
1588,8522,4
1589,8291,4
1590,9280,4
1591,2198,5
1592,5457,3
1593,1340,4
1594,9226,5
1595,459,4
1596,6525,5
1597,8725,4
1598,8052,5
1599,1521,5
1600,9559,4
1601,4348,4
1602,6404,5
1603,373,4
1604,6282,4
1605,3770,4
1606,7781,5
1607,3367,5
1608,8283,5
1609,5402,5
1610,2500,4
1611,7777,4
1612,1717,4
1613,5006,3
1614,1465,4
1615,2517,4
1616,7925,4
1617,6911,4
1618,6081,5
1619,2742,4
1620,7386,5
1621,5744,4
1622,9873,4
1623,5674,4
1624,2004,4
1625,4993,5
1626,4029,4
1627,242,4
1628,7591,4
1629,449,5
1630,9251,5
1631,7771,4
1632,8597,4
1633,1473,3
1634,3108,4
1635,8736,4
1636,1118,5
1637,6296,4
1638,4023,4
1639,2062,4
1640,8380,4
1641,9966,5
1642,9033,4
1643,3899,2
1644,4487,5
1645,1794,5
1646,7395,4
1647,7925,4
1648,5488,5
1649,6035,4
1650,4309,5
1651,4534,5
1652,4590,4
1653,1107,5
1654,6224,4
1655,214,5
1656,5740,4
1657,7784,5
1658,6108,5
1659,6069,5
1660,9976,4
1661,8497,4
1662,6911,4
1663,151,5
1664,5365,4
1665,7863,5
1666,8736,4
1667,1253,5
1668,9868,4
1669,1736,5
1670,7014,5
1671,3606,3
1672,422,5
1673,9082,3
1674,5724,5
1675,7909,5
1676,8032,5
1677,797,5
1678,2437,4
1679,2688,5
1680,7557,5
1681,6804,4
1682,6735,5
1683,6603,5
1684,2604,5
1685,7273,5
1686,803,4
1687,2087,4
1688,4822,4
1689,6501,5
1690,4993,5
1691,3631,4
1692,8147,4
1693,1825,5
1694,9530,4
1695,4886,5
1696,1764,5
1697,1200,4
1698,21,5
1699,8051,4
1700,5163,5
1701,9132,5
1702,8994,3
1703,9508,4
1704,2286,3
1705,71,4
1706,7099,4
1707,2413,4
1708,1699,5
1709,9866,5
1710,6038,3
1711,8294,4
1712,2096,4
1713,4372,5
1714,3578,4
1715,1190,5
1716,4596,5
1717,7800,3
1718,4608,4
1719,6635,4
1720,8035,4
1721,723,4
1722,2338,5
1723,8736,4
1724,6252,4
1725,1763,5
1726,7308,4
1727,1120,5
1728,259,4
1729,4029,4
1730,6098,5
1731,7609,4
1732,8595,5
1733,852,4
1734,2681,5
1735,6413,5
1736,5955,4
1737,9033,4
1738,7118,5
1739,5691,4
1740,7283,4
1741,107,5
1742,7346,4
1743,1753,5
1744,2517,4
1745,5555,5
1746,1223,4
1747,9455,5
1748,8967,4
1749,3412,4
1750,2598,4
1751,5502,4
1752,9576,5
1753,4353,4
1754,7925,4
1755,7178,4
1756,2799,4
1757,662,4
1758,6203,4
1759,8233,6
1760,518,5
1761,8620,5
1762,8966,5
1763,4029,4
1764,3058,4
1765,7825,5
1766,5882,5
1767,1272,5
1768,1481,4
1769,9059,4
1770,1225,3
1771,3631,4
1772,8763,5
1773,2111,4
1774,7825,5
1775,2122,4
1776,520,5
1777,5079,5
1778,2208,4
1779,5495,5
1780,5740,4
1781,1322,4
1782,7655,4
1783,4618,5
1784,7909,5
1785,8865,4
1786,8719,3
1787,6603,5
1788,6381,4
1789,6905,4
1790,4541,5
1791,563,4
1792,2427,5
1793,9447,4
1794,7715,4
1795,7401,4
1796,6371,4
1797,5134,5
1798,643,4
1799,8254,5
1800,7927,4
1801,409,4
1802,3562,5
1803,291,4
1804,3606,3
1805,8973,5
1806,990,3
1807,3442,5
1808,9925,5
1809,1728,5
1810,2697,4
1811,3357,5
1812,3192,4
1813,1481,4
1814,3522,3
1815,9741,5
1816,1340,4
1817,1702,4
1818,9089,4
1819,6310,5
1820,7694,5
1821,8287,4
1822,4265,5
1823,8000,5
1824,4880,3
1825,9208,4
1826,1756,5
1827,967,4
1828,2873,5
1829,9944,5
1830,8380,4
1831,7779,4
1832,5464,4
1833,8534,5
1834,3162,5
1835,8913,4
1836,2584,5
1837,5745,4
1838,7774,4
1839,6769,4
1840,1899,4
1841,5304,4
1842,2534,5
1843,4857,5
1844,8919,3
1845,7791,5
1846,7070,5
1847,631,4
1848,6486,5
1849,5295,3
1850,6921,4
1851,6328,5
1852,9969,5
1853,4830,4
1854,9058,5
1855,2294,2
1856,3288,5
1857,1660,5
1858,9103,5
1859,8347,2
1860,9350,4
1861,2035,4
1862,7529,4
1863,3246,5
1864,908,4
1865,240,4
1866,8865,4
1867,8966,5
1868,1266,4
1869,1563,5
1870,9787,5
1871,121,5
1872,3477,4
1873,8159,4
1874,2675,5
1875,8041,4
1876,6525,5
1877,2721,4
1878,1493,4
1879,9612,4
1880,4366,4
1881,8379,4
1882,7439,4
1883,1733,5
1884,1160,5
1885,2296,5
1886,379,4
1887,6735,5
1888,3264,4
1889,9251,5
1890,8347,2
1891,1105,4
1892,3967,5
1893,5916,4
1894,8687,5
1895,4010,5
